Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,Midnight Dreams,3:12,PRE_RAW,01 Midnight Dreams.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,116,326,Se encuentra en spotify,,"Ellie Goulding, Glen Garth, Phil Garth, Stephen Kozmeniuk & Trey Campbell",2025-01-17 17:01:53,2025-10-17 06:56:09,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/01%20Midnight%20Dreams.m4a,,8638,D65F16DA312A1548,4,3845291218,2025-11-06 22:26:58,,100,,2023-04-07 12:00:00,48000,7959956,,,,,,,15,13543,1,File,2023
Somebody - Single,"TSHA, Ellie Goulding & Gregory Porter",Electrónica,Somebody,3:55,PRE_RAW,01 Somebody.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,"TSHA, Ellie Goulding & Gregory Porter",100,True,1,77,326,Se encuentra en spotify,,"Ellie Goulding, Teisha Matthews & Matthew Phelan",2025-01-17 17:01:53,2025-10-17 06:53:41,1,1,,,5,Archivo de audio AAC,1,"file://localhost/F:/iTunes/iTunes%20Media/Music/TSHA,%20Ellie%20Goulding%20&%20Gregory%20Porter/Somebody%20-%20Single/01%20Somebody.m4a",,2528,CFE5F55A27B1C41D,3,3846769726,2025-11-24 01:08:46,,100,,2023-09-14 12:00:00,48000,10203161,,,,,,,1,13549,1,File,2023
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,Cure For Love,2:57,PRE_RAW,02 Cure For Love.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,111,326,Se encuentra en spotify,,"Ellie Goulding, Andrew Wells, Anthony Rossomando & Tom Mann",2025-01-17 17:01:56,2025-10-17 06:56:09,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/02%20Cure%20For%20Love.m4a,,8906,2C96A2E151B920A8,8,3840731742,2025-09-15 02:55:42,,100,,2023-04-07 12:00:00,48000,7313169,,,,,,,15,13569,2,File,2023
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,By The End Of The Night,3:08,PRE_RAW,03 By The End Of The Night.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,150,328,Se encuentra en spotify,,"Ellie Goulding, Stephen Kozmeniuk & Trey Campbell",2025-01-17 17:01:56,2025-10-17 06:56:09,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/03%20By%20The%20End%20Of%20The%20Night.m4a,,7098,053287E523A0FFCA,2,3843568145,2025-10-17 22:49:05,,100,,2023-04-07 12:00:00,48000,7819789,,,,,,,15,13577,3,File,2023
Delirium (Deluxe),Ellie Goulding,Pop,Something In the Way You Move,3:47,PRE_RAW,03 Something In the Way You Move.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,109,319,Se encuentra en spotify,,Ellie Goulding & Greg Kurstin,2025-01-17 17:01:57,2025-10-17 06:56:12,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Delirium%20(Deluxe)/03%20Something%20In%20the%20Way%20You%20Move.m4a,,4608,3668302C530CB2BF,5,3840193260,2025-09-08 21:21:00,,100,,2015-10-09 12:00:00,48000,9205420,,,,,,,21,13581,3,File,2015
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,Love Goes On,3:52,PRE_RAW,05 Love Goes On.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,109,318,Se encuentra en spotify,,Ellie Goulding & Greg Kurstin,2025-01-17 17:01:57,2025-10-17 06:56:09,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/05%20Love%20Goes%20On.m4a,,5090,B69667229D4CB97B,2,3837851568,2025-08-12 18:52:48,,100,,2023-04-07 12:00:00,48000,9350083,,,,,,,15,13593,5,File,2023
Delirium (Deluxe),Ellie Goulding,Pop,On My Mind,3:33,PRE_RAW,05 On My Mind.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,155,322,Se encuentra en spotify,,"Ellie Goulding, Max Martin, Savan Kotecha & Ilya",2025-01-17 17:01:57,2025-10-17 06:56:11,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Delirium%20(Deluxe)/05%20On%20My%20Mind.m4a,,3918,D273C0D0B690DE8A,4,3843573147,2025-10-18 00:12:27,,100,,2015-09-17 12:00:00,48000,8738945,,,,,,,21,13595,5,File,2015
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,Higher Than Heaven,3:29,PRE_RAW,07 Higher Than Heaven.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,104,324,Se encuentra en spotify,,"Ellie Goulding, Glen Garth, Phil Garth, Stephen Kozmeniuk & Trey Campbell",2025-01-17 17:01:57,2025-10-17 06:56:09,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/07%20Higher%20Than%20Heaven.m4a,,7762,EF170D444BA59069,4,3835371873,2025-07-15 02:04:33,,100,,2023-04-07 12:00:00,48000,8576164,,,,,,,15,13605,7,File,2023
Delirium (Deluxe),Ellie Goulding,Pop,Holding On For Life,4:15,PRE_RAW,08 Holding On For Life.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,114,320,Se encuentra en spotify,,"Ellie Goulding, Greg Kurstin & Maureen ""Mozella"" McDonald",2025-01-17 17:01:57,2025-10-17 06:56:11,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Delirium%20(Deluxe)/08%20Holding%20On%20For%20Life.m4a,,4547,73787B99A2FB70EE,6,3846770693,2025-11-24 01:24:53,,100,,2015-11-06 12:00:00,48000,10359986,,,,,,,21,13607,8,File,2015
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,Let It Die,2:46,PRE_RAW,08 Let It Die.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,120,327,Se encuentra en spotify,,"Ellie Goulding, Peter Rycroft, Tom Mann & Andrea Rocha",2025-01-17 17:01:57,2025-10-17 06:56:09,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/08%20Let%20It%20Die.m4a,,7176,0F77645C394E8F6A,3,3837849894,2025-08-12 18:24:54,,100,,2022-10-21 12:00:00,48000,6865752,,,,,,,15,13609,8,File,2023
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,Waiting For It,3:19,PRE_RAW,09 Waiting For It.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,90,316,Se encuentra en spotify,,"Ellie Goulding, Jesse Shatkin & Maureen ""Mozella"" McDonald",2025-01-17 17:01:57,2025-10-17 06:56:08,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/09%20Waiting%20For%20It.m4a,,5193,4EE7B6365F80F008,4,3845979844,2025-11-14 21:44:04,,100,,2023-04-07 12:00:00,48000,7978750,,,,,,,15,13615,9,File,2023
Delirium (Deluxe),Ellie Goulding,Pop,Don't Need Nobody,3:34,PRE_RAW,10 Don't Need Nobody.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,99,322,Se encuentra en spotify,,"Ellie Goulding, Savan Kotecha, Peter Svensson, Ludvig Söderberg, Jakob Jerlström & Max Martin",2025-01-17 17:01:57,2025-10-17 06:56:11,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Delirium%20(Deluxe)/10%20Don't%20Need%20Nobody.m4a,,3561,B96E11D01C3589DF,6,3846406412,2025-11-19 20:13:32,,100,,2015-11-06 12:00:00,48000,8758175,,,,,,,21,13619,10,File,2015
Higher Than Heaven (Deluxe),Ellie Goulding,Pop,Just For You,3:06,PRE_RAW,10 Just For You.m4a,Ellie Goulding,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Ellie Goulding.xml,Ellie Goulding,100,,1,113,322,Se encuentra en spotify,,"Ellie Goulding, Greg Kurstin & Julia Michaels",2025-01-17 17:01:57,2025-10-17 06:56:08,1,1,,,5,Archivo de audio AAC,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Ellie%20Goulding/Higher%20Than%20Heaven%20(Deluxe)/10%20Just%20For%20You.m4a,,4335,2233890C72F17C0C,8,3846177850,2025-11-17 04:44:10,,100,,2023-04-07 12:00:00,48000,7599364,,,,,,,15,13621,10,File,2023
